date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:40:47	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:47%20GMT	http://localhost/wordpress/tag/install-gentoo/	/home/amulet/websites/backup/localhost/wordpress/tag/install-gentoo/index.html	(from http://localhost/wordpress/)
00:40:47	121/121	---M-Z	200	added ('OK')	text/plain	date:Wed,%2006%20Jul%202016%2016:40:02%20GMT	http://zcat.site.curl.pink/robots.txt		(from http://localhost/wordpress/)
00:40:47	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:47%20GMT	http://localhost/wordpress/tag/iso/	/home/amulet/websites/backup/localhost/wordpress/tag/iso/index.html	(from http://localhost/wordpress/)
00:40:48	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2001%20Oct%202016%2005:40:47%20GMT	http://localhost/wordpress/tag/livecd/	/home/amulet/websites/backup/localhost/wordpress/tag/livecd/index.html	(from http://localhost/wordpress/)
00:40:48	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Oct%202016%2005:41:26%20GMT	http://wordpress.org/	/home/amulet/websites/backup/wordpress.org/index.html	(from http://localhost/wordpress/)
00:40:48	943/943	---MC-	200	added ('OK')	text/css	date:Sat,%2001%20Oct%202016%2005:41:26%20GMT	http://fonts.googleapis.com/css?family=Khula:300,600,400,700	/home/amulet/websites/backup/fonts.googleapis.com/cssfe16.css	(from http://zcat.site.curl.pink/)
00:40:49	14472/14472	---M-Z	200	added ('OK')	text/xml	date:Sat,%2001%20Oct%202016%2005:41:27%20GMT	http://zcat.site.curl.pink/rss	/home/amulet/websites/backup/zcat.site.curl.pink/rss	(from http://zcat.site.curl.pink/)
00:40:49	1164/1164	---M-Z	200	added ('OK')	application/json	etag:W/%22577d3132-48c%22	http://zcat.site.curl.pink/manifest.json	/home/amulet/websites/backup/zcat.site.curl.pink/manifest.json	(from http://zcat.site.curl.pink/)
00:40:50	36992/36992	---M--	200	added ('OK')	image/jpeg	etag:%229080-53dc63fa32646%22	http://localhost/wordpress/wp-content/uploads/2016/07/smile-350x280.jpg	/home/amulet/websites/backup/localhost/wordpress/wp-content/uploads/2016/07/smile-350x280.jpg	(from http://localhost/wordpress/es/)
00:40:50	40223/40223	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202016%2005:41:28%20GMT	http://zcat.site.curl.pink/android-app://com.tumblr/tumblr/x-callback-url/blog?blogName=zcat-aurora	/home/amulet/websites/backup/zcat.site.curl.pink/android-app_/com.tumblr/tumblr/x-callback-url/blog161d	(from http://zcat.site.curl.pink/)
00:40:50	40193/40193	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Oct%202016%2005:41:28%20GMT	http://zcat.site.curl.pink/ios-app://305343404/tumblr/x-callback-url/blog?blogName=zcat-aurora	/home/amulet/websites/backup/zcat.site.curl.pink/ios-app_/305343404/tumblr/x-callback-url/blog161d	(from http://zcat.site.curl.pink/)
00:40:53	22374/22374	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225766-53c94b6028c80%22	http://localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericons.eot?	/home/amulet/websites/backup/localhost/wordpress/wp-content/themes/beetle/css/genericons/Genericonsd41d.eot	(from http://localhost/wordpress/wp-content/themes/beetle/css/genericons/genericons.css?ver=3.4.1)
00:40:54	42467/42467	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:32%20GMT	http://zcat.site.curl.pink/post/149570976036/august-26-2016	/home/amulet/websites/backup/zcat.site.curl.pink/post/149570976036/august-26-2016.html	(from http://zcat.site.curl.pink/)
00:40:54	42776/42776	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:32%20GMT	http://zcat.site.curl.pink/post/149482973666/august	/home/amulet/websites/backup/zcat.site.curl.pink/post/149482973666/august.html	(from http://zcat.site.curl.pink/)
00:40:55	42743/42743	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:33%20GMT	http://zcat.site.curl.pink/post/148573636791/ffmpeg-saved-the-day-c	/home/amulet/websites/backup/zcat.site.curl.pink/post/148573636791/ffmpeg-saved-the-day-c.html	(from http://zcat.site.curl.pink/)
00:40:55	714/714	---M--	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://localhost/wordpress/es/comments/feed/	/home/amulet/websites/backup/localhost/wordpress/es/comments/feed/index.html	(from http://localhost/wordpress/es/)
00:40:55	23405/23405	---M-Z	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202016%2017:36:08%20GMT	https://themezee.com/themes/beetle/	/home/amulet/websites/backup/themezee.com/themes/beetle/index.html	(from http://localhost/wordpress/)
00:40:56	42929/42929	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:34%20GMT	http://zcat.site.curl.pink/post/148054361601/july-27-2016	/home/amulet/websites/backup/zcat.site.curl.pink/post/148054361601/july-27-2016.html	(from http://zcat.site.curl.pink/)
00:40:56	43148/43148	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:34%20GMT	http://zcat.site.curl.pink/post/146778491606/july-1-2016	/home/amulet/websites/backup/zcat.site.curl.pink/post/146778491606/july-1-2016.html	(from http://zcat.site.curl.pink/)
00:40:57	42054/42054	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:34%20GMT	http://zcat.site.curl.pink/post/146581871611/june-27-2016	/home/amulet/websites/backup/zcat.site.curl.pink/post/146581871611/june-27-2016.html	(from http://zcat.site.curl.pink/)
00:40:57	1048/1048	---M--	200	added ('OK')	application/json	date:Sat,%2001%20Oct%202016%2005:40:55%20GMT	http://localhost/wordpress/es/wp-json/	/home/amulet/websites/backup/localhost/wordpress/es/wp-json/index.html	(from http://localhost/wordpress/es/)
00:40:57	42586/42586	---M-Z	200	added ('OK')	text/html	date:Sat,%2001%20Oct%202016%2005:41:35%20GMT	http://zcat.site.curl.pink/post/146571158996/june-12-2016	/home/amulet/websites/backup/zcat.site.curl.pink/post/146571158996/june-12-2016.html	(from http://zcat.site.curl.pink/)
